account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,complaints,total_calls,total_minutes,total_charges,churn_prob,segment
27,408,0,0,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,319,574.2,60.07000000000001,0.04,Dormant
54,415,0,0,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57,1,268,718.6999999999999,76.36,0.98,At Risk
172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,314,536.5,51.89,0.11,Dormant
57,415,0,1,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,308,635.5,64.95,0.01,Dormant
125,415,0,0,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,267,653.7,66.97,0.01,Dormant
7,415,0,0,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,247,646.3,66.16,0.02,Dormant
77,408,1,1,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0,304,543.0,46.78999999999999,0.68,Loyal
45,415,0,1,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,284,673.0999999999999,67.39,0.02,Dormant
109,415,0,0,0,137.0,128,23.29,217.0,116,18.45,182.1,86,8.19,10.0,5,2.7,2,330,536.1,49.92999999999999,0.05,Dormant
141,415,0,1,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8.0,3,2.16,4,322,582.2,56.51,0.1,Dormant
72,415,0,0,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,297,590.1,61.370000000000005,0.02,Dormant
90,415,0,0,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,357,403.9,35.46,0.02,Dormant
84,408,0,0,0,86.0,83,14.62,260.7,86,22.16,98.6,109,4.44,8.9,4,2.4,1,278,445.29999999999995,41.22,0.04,Dormant
107,510,0,1,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,253,565.7,58.6,0.03,Dormant
129,415,0,0,0,159.1,100,27.05,202.5,90,17.21,233.1,96,10.49,11.5,6,3.11,2,286,594.7,54.75000000000001,0.01,Dormant
108,408,0,1,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1,292,682.8,62.05,0.02,Dormant
120,415,0,0,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,336,502.5,46.2,0.04,Dormant
123,415,1,0,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,331,506.3,43.64,0.73,At Risk
10,408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,235,659.0999999999999,60.540000000000006,0.06,Dormant
80,408,0,0,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,331,707.0999999999999,80.99,0.94,At Risk
89,510,0,0,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,298,876.9,87.88,0.91,At Risk
61,415,0,1,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10.0,3,2.7,2,312,699.8000000000001,70.55,0.06,Dormant
93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,346,538.5,56.8,0.01,Dormant
159,415,0,0,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,304,689.2,73.08,0.91,At Risk
124,415,0,0,0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,11.1,6,3.0,3,254,651.8,69.34,0.08,Dormant
99,408,0,0,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,301,620.0,58.029999999999994,0.01,Dormant
117,408,0,0,0,97.1,98,16.51,228.0,131,19.38,240.0,111,10.8,10.6,3,2.86,1,340,565.1,46.69,0.06,Dormant
159,510,0,0,0,114.8,98,19.52,192.6,101,16.37,259.0,108,11.66,12.2,5,3.29,0,307,566.4,47.55,0.11,Dormant
141,415,0,0,0,160.1,87,27.22,256.7,120,21.82,270.0,107,12.15,7.0,1,1.89,2,314,686.8,61.19,0.03,Dormant
1,415,0,0,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7.0,2,1.89,1,280,704.1,68.06,0.03,Dormant
98,415,1,0,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,245,438.5,31.56,0.34,Loyal
19,408,0,0,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,282,654.4,62.89000000000001,0.08,Dormant
116,408,0,0,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,338,535.6,49.47,0.01,Dormant
118,408,0,1,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,251,575.2,68.74,0.11,Dormant
85,408,0,0,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,307,601.3,53.89,0.02,Dormant
97,408,0,1,32,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,8.5,7,2.3,0,321,586.1,56.46,0.07,Dormant
107,408,0,1,36,96.3,83,16.37,179.6,91,15.27,166.3,121,7.48,10.3,2,2.78,1,295,442.2,39.120000000000005,0.1,Dormant
160,415,0,1,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,360,551.1999999999999,55.89,0.06,Dormant
73,415,0,0,0,217.8,91,37.03,220.6,97,18.75,277.3,89,12.48,10.3,6,2.78,1,277,715.7,68.26,0.03,Dormant
56,510,0,0,0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,281,480.40000000000003,46.949999999999996,0.04,Dormant
113,415,0,0,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,337,641.3,64.55000000000001,0.07,Dormant
110,408,0,0,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,297,531.6999999999999,56.43,0.02,Dormant
67,510,0,0,0,129.0,78,21.93,188.0,116,15.98,235.0,102,10.58,11.2,3,3.02,2,296,552.0,48.489999999999995,0.05,Dormant
127,510,0,0,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10.0,1,2.7,2,298,569.4,61.080000000000005,0.05,Dormant
144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,292,728.6,70.07,0.17,Dormant
109,510,0,0,0,170.7,101,29.02,240.2,82,20.42,119.0,112,5.36,11.4,4,3.08,2,295,529.9,54.8,0.01,Dormant
111,415,0,0,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,293,684.2,72.63,0.81,At Risk
78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,310,695.2,70.03,0.09,Dormant
128,408,0,0,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,317,585.0,50.19,0.12,Dormant
177,408,0,0,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,328,591.7,57.38,0.02,Dormant
46,415,0,0,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,388,596.5,55.21,0.05,Dormant
48,510,0,0,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,3,364,509.0,48.03,0.07,Dormant
111,415,0,0,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,296,642.4,68.38,0.02,Dormant
48,415,0,0,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4,271,578.8,56.23,0.26,Dormant
119,408,0,0,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,258,745.7,76.33,0.92,At Risk
76,510,1,0,0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0,296,661.5,68.88,0.64,Loyal
90,408,0,1,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,295,557.6,57.25,0.04,Dormant
97,408,0,1,32,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2,307,551.5,47.12,0.01,Dormant
52,510,0,0,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7.0,8.3,6,2.24,3,266,485.5,47.65,0.02,Dormant
179,408,0,0,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,321,613.3,60.96999999999999,0.08,Dormant
96,510,0,0,0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,397,606.3,56.22,0.13,Dormant
83,408,0,0,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,280,505.5,56.099999999999994,0.03,Dormant
105,415,0,0,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,303,611.1,65.95,0.07,Dormant
61,415,0,0,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,307,570.9,56.5,0.02,Dormant
125,415,0,0,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,281,493.70000000000005,50.589999999999996,0.07,Dormant
108,510,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,331,542.5,48.63,0.01,Dormant
215,510,0,0,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,349,431.1,34.69,0.17,Dormant
108,408,0,1,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,320,611.9,62.54,0.07,Dormant
132,510,0,0,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,314,353.7,33.52,0.04,Dormant
51,415,0,0,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,327,655.0,58.769999999999996,0.1,Dormant
112,415,1,0,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,386,496.8,50.629999999999995,0.18,Dormant
104,408,1,0,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,266,760.9,66.05,0.19,Dormant
105,510,0,0,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,243,536.2,48.839999999999996,0.03,Dormant
88,415,1,0,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,253,772.8,74.24,0.72,At Risk
85,415,0,0,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,224,627.7,62.36,0.01,Dormant
101,510,0,1,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,249,580.0,57.92,0.05,Dormant
64,408,1,0,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,259,648.9,67.46,0.83,At Risk
104,415,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,299,552.0,46.769999999999996,0.02,Dormant
113,408,0,0,0,158.9,137,27.01,242.8,109,20.64,247.8,97,11.15,6.5,4,1.76,0,343,649.5,58.800000000000004,0.01,Dormant
144,415,0,1,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,302,658.4,68.98,0.0,Dormant
86,408,0,0,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,325,482.6,41.81,0.04,Dormant
138,510,0,0,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,293,503.8,53.73,0.03,Dormant
181,415,1,0,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,264,547.7,49.78,0.79,At Risk
112,510,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,268,684.7,68.52,0.12,Dormant
135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,287,450.7,44.01,0.0,Dormant
161,415,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,292,516.0,49.949999999999996,0.11,Dormant
44,510,0,0,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,268,528.8,48.48,0.03,Dormant
85,415,0,0,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,333,585.1999999999999,53.09,0.01,Dormant
149,510,0,0,0,207.3,115,35.24,198.4,82,16.86,114.1,83,5.13,8.6,4,2.32,1,280,519.8000000000001,57.230000000000004,0.02,Dormant
135,510,0,1,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2,348,602.7,62.16,0.05,Dormant
90,415,0,1,24,71.2,82,12.1,181.6,103,15.44,186.9,111,8.41,12.9,1,3.48,1,296,439.70000000000005,35.95,0.09,Dormant
184,510,1,0,0,213.8,105,36.35,159.6,84,13.57,139.2,137,6.26,5.0,10,1.35,2,326,512.5999999999999,56.18,0.18,Dormant
153,408,0,0,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,324,599.4,58.45,0.07,Dormant
83,510,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,296,594.7,64.45,0.02,Dormant
64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,271,645.1,57.31,0.06,Dormant
118,408,0,0,0,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2,335,693.7,64.22,0.02,Dormant
148,415,0,1,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,316,800.0,78.99,0.29,Dormant
82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,282,751.4000000000001,78.59,0.94,At Risk
135,408,0,0,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3,266,475.70000000000005,46.24,0.04,Dormant
11,510,0,1,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,7.0,7,1.89,1,293,639.4,62.870000000000005,0.02,Dormant
83,415,0,1,20,95.0,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,260,463.5,39.449999999999996,0.01,Dormant
130,415,0,0,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3,295,674.9,60.099999999999994,0.03,Dormant
75,510,0,1,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,299,661.8,64.59,0.13,Dormant
73,415,0,0,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,289,500.59999999999997,53.29,0.0,Dormant
107,510,0,1,31,160.3,45,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51,1,224,643.4000000000001,57.849999999999994,0.16,Dormant
85,415,1,0,0,197.2,97,33.52,211.7,115,17.99,210.1,133,9.45,8.3,4,2.24,4,345,619.0,60.96000000000001,0.15,Dormant
182,415,0,0,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,336,677.1,72.58000000000001,0.92,At Risk
46,510,0,0,0,250.3,100,42.55,260.6,90,22.15,195.0,104,8.78,13.3,2,3.59,2,294,705.9000000000001,73.47999999999999,0.94,At Risk
85,510,0,1,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,298,672.4,75.24000000000001,0.35,Loyal
58,510,0,0,0,131.9,96,22.42,167.6,107,14.25,205.9,106,9.27,14.7,5,3.97,3,309,505.4,45.94,0.02,Dormant
166,510,0,0,0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,376,600.9000000000001,59.76,0.07,Dormant
185,408,0,1,29,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,13.8,2,3.73,2,300,550.1999999999999,53.440000000000005,0.14,Dormant
86,510,0,0,0,70.7,125,12.02,211.0,113,17.94,174.6,107,7.86,0.0,0,0.0,2,345,456.29999999999995,37.82,0.1,Dormant
130,510,0,1,26,257.2,108,43.72,224.3,122,19.07,204.0,118,9.18,12.6,4,3.4,1,348,685.5,71.97,0.09,Dormant
113,415,0,0,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,313,350.9,27.130000000000003,0.92,At Risk
35,408,0,0,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,10.3,2,2.78,5,315,511.99999999999994,46.64,0.93,At Risk
